iter	Passed	Remaining
469	732	826
470	733	823
471	734	821
472	735	819
473	736	817
474	737	815
475	738	813
476	740	811
477	741	809
478	742	807
479	743	805
480	744	803
481	745	801
482	746	798
483	747	796
484	748	794
485	749	792
486	750	790
487	751	788
488	752	786
489	753	784
490	754	782
491	755	780
492	756	778
493	757	776
494	759	774
495	760	772
496	761	770
497	762	768
498	763	766
499	764	764
500	765	762
501	766	760
502	767	758
503	769	757
504	770	755
505	771	753
506	772	751
507	774	749
508	775	747
509	775	745
510	776	743
511	777	741
512	778	739
513	779	736
514	780	735
515	781	733
516	782	730
517	783	729
518	784	727
519	785	725
520	786	723
521	787	721
522	788	719
523	789	717
524	790	715
525	791	713
526	792	711
527	793	709
528	794	707
529	795	705
530	796	703
531	797	701
532	799	700
533	800	698
534	801	696
535	802	694
536	802	692
537	803	690
538	804	688
539	805	686
540	806	684
541	807	682
542	808	680
543	809	678
544	810	676
545	811	674
546	811	672
547	813	671
548	814	669
549	815	667
550	816	665
551	817	663
552	818	661
553	819	659
554	819	657
555	820	655
556	821	653
557	822	651
558	823	649
559	824	647
560	824	645
561	825	643
562	826	641
563	827	639
564	828	638
565	829	636
566	831	634
567	831	632
568	833	630
569	833	629
570	834	627
571	835	625
572	836	623
573	837	621
574	838	619
575	839	618
576	840	616
577	841	614
578	842	612
579	843	611
580	844	609
581	845	607
582	846	605
583	847	603
584	848	601
585	848	599
586	849	597
587	850	596
588	851	594
589	852	592
590	853	590
591	854	588
592	854	586
593	855	584
594	856	583
595	857	581
596	858	579
597	859	578
598	860	576
599	861	574
600	862	572
601	863	570
602	864	569
603	865	567
604	865	565
605	866	563
606	867	561
607	868	559
608	869	558
609	869	556
610	870	554
611	871	552
612	872	550
613	873	549
614	874	547
615	875	545
616	876	543
617	877	542
618	877	540
619	878	538
620	879	536
621	880	535
622	881	533
623	882	531
624	883	529
625	883	528
626	884	526
627	885	524
628	886	522
629	887	521
630	888	519
631	889	517
632	890	516
633	891	514
634	892	512
635	893	511
636	894	509
637	895	507
638	895	506
639	896	504
640	897	502
641	898	500
642	899	499
643	899	497
644	900	495
645	901	494
646	902	492
647	903	490
648	905	489
649	906	488
650	907	486
651	908	484
652	909	483
653	910	481
654	911	479
655	912	478
656	912	476
657	913	474
658	914	473
659	915	471
660	916	470
661	917	468
662	918	467
663	919	465
664	920	463
665	921	462
666	923	460
667	924	459
668	925	457
669	926	456
670	927	454
671	928	453
672	929	451
673	930	449
674	932	449
675	934	447
676	935	446
677	936	444
678	937	443
679	938	441
680	939	440
681	940	438
682	941	436
683	942	435
684	943	433
685	944	432
686	945	430
687	947	429
688	948	427
689	949	426
690	950	424
691	951	423
692	952	421
693	952	420
694	953	418
695	954	417
696	955	415
697	956	414
698	957	412
699	958	410
700	960	409
701	961	408
702	962	406
703	963	405
704	964	403
705	965	402
706	966	400
707	968	399
708	969	398
709	971	396
710	972	395
711	973	393
712	976	392
713	980	392
714	981	391
715	983	390
716	984	388
717	985	387
718	987	385
719	988	384
720	989	382
721	991	381
722	993	380
723	994	379
724	995	377
725	997	376
726	998	375
727	1000	373
728	1001	372
729	1002	370
730	1003	369
731	1005	368
732	1007	367
733	1008	365
734	1010	364
735	1011	362
736	1012	361
737	1013	359
738	1014	358
739	1015	356
740	1017	355
741	1019	354
742	1020	353
743	1022	351
744	1023	350
745	1024	348
746	1025	347
747	1026	345
748	1027	344
749	1028	342
750	1029	341
751	1030	339
752	1031	338
753	1032	336
754	1034	335
755	1036	334
756	1037	332
757	1038	331
758	1039	330
759	1040	328
760	1041	327
761	1042	325
762	1043	324
763	1044	322
764	1045	321
765	1046	319
766	1047	318
767	1049	317
768	1050	315
769	1051	314
770	1052	312
771	1054	311
772	1054	309
773	1056	308
774	1057	306
775	1058	305
776	1059	304
777	1060	302
778	1062	301
779	1064	300
780	1066	298
781	1066	297
782	1068	295
783	1069	294
784	1070	293
785	1071	291
786	1072	290
787	1073	288
788	1074	287
789	1075	285
790	1077	284
791	1079	283
792	1081	282
793	1082	280
794	1083	279
795	1084	277
796	1086	276
797	1087	275
798	1088	273
799	1089	272
800	1090	271
801	1092	269
802	1094	268
803	1096	267
804	1097	265
805	1098	264
806	1099	262
807	1100	261
808	1101	260
809	1102	258
810	1103	257
811	1104	255
812	1105	254
813	1107	253
814	1109	251
815	1110	250
816	1111	249
817	1112	247
818	1113	246
819	1114	244
820	1115	243
821	1116	241
822	1117	240
823	1118	238
824	1119	237
825	1122	236
826	1123	235
827	1124	233
828	1125	232
829	1126	230
830	1127	229
831	1128	227
832	1129	226
833	1130	224
834	1130	223
835	1131	222
836	1132	220
837	1133	219
838	1135	217
839	1137	216
840	1138	215
841	1139	213
842	1140	212
843	1141	211
844	1142	209
845	1143	208
846	1144	206
847	1145	205
848	1146	203
849	1147	202
850	1148	201
851	1149	199
852	1151	198
853	1152	197
854	1153	195
855	1154	194
856	1155	192
857	1156	191
858	1157	189
859	1158	188
860	1158	187
861	1159	185
862	1160	184
863	1161	182
864	1162	181
865	1163	180
866	1164	178
867	1166	177
868	1167	176
869	1168	174
870	1169	173
871	1169	171
872	1170	170
873	1171	168
874	1172	167
875	1173	166
876	1174	164
877	1174	163
878	1175	161
879	1176	160
880	1177	159
881	1178	157
882	1180	156
883	1181	155
884	1182	153
885	1183	152
886	1184	150
887	1185	149
888	1186	148
889	1187	146
890	1188	145
891	1189	144
892	1190	142
893	1191	141
894	1192	139
895	1193	138
896	1195	137
897	1196	135
898	1197	134
899	1198	133
900	1199	131
901	1200	130
902	1202	129
903	1203	127
904	1203	126
905	1204	125
906	1205	123
907	1206	122
908	1207	120
909	1209	119
910	1211	118
911	1212	116
912	1213	115
913	1214	114
914	1215	112
915	1216	111
916	1217	110
917	1218	108
918	1219	107
919	1220	106
920	1221	104
921	1222	103
922	1223	102
923	1224	100
924	1226	99
925	1227	98
926	1227	96
927	1228	95
928	1229	93
929	1230	92
930	1231	91
931	1232	89
932	1233	88
933	1234	87
934	1235	85
935	1235	84
936	1236	83
937	1238	81
938	1240	80
939	1241	79
940	1242	77
941	1242	76
942	1243	75
943	1244	73
944	1245	72
945	1246	71
946	1247	69
947	1248	68
948	1249	67
949	1249	65
950	1250	64
951	1252	63
952	1254	61
953	1255	60
954	1256	59
955	1257	57
956	1258	56
957	1258	55
958	1259	53
959	1260	52
960	1261	51
961	1263	49
962	1264	48
963	1265	47
964	1267	45
965	1269	44
966	1271	43
967	1272	42
968	1273	40
969	1273	39
970	1274	38
971	1291	37
972	1293	35
973	1293	34
974	1294	33
975	1295	31
976	1296	30
977	1297	29
978	1298	27
979	1299	26
980	1301	25
981	1302	23
982	1303	22
983	1304	21
984	1305	19
985	1306	18
986	1307	17
987	1308	15
988	1309	14
989	1310	13
990	1311	11
991	1313	10
992	1315	9
993	1316	7
994	1316	6
995	1317	5
996	1318	3
997	1319	2
998	1320	1
999	1321	0
